      1 GO:0000018	regulation of DNA recombination
      2 GO:0032956	regulation of actin cytoskeleton organization
      2 GO:0032970	regulation of actin filament-based process
      2 GO:0033013	tetrapyrrole metabolic process
      2 GO:0033116	endoplasmic reticulum-Golgi intermediate compartment membrane
      2 GO:0033674	positive regulation of kinase activity
      2 GO:0033993	response to lipid
      2 GO:0034404	nucleobase-containing small molecule biosynthetic process
      2 GO:0034968	histone lysine methylation
      2 GO:0035065	regulation of histone acetylation
      2 GO:0035150	regulation of tube size
      2 GO:0035296	regulation of tube diameter
      2 GO:0035966	response to topologically incorrect protein
      2 GO:0035967	cellular response to topologically incorrect protein
      2 GO:0036503	ERAD pathway
      2 GO:0040002	collagen and cuticulin-based cuticle development
      2 GO:0040003	chitin-based cuticle development
      2 GO:0040032	post-embryonic body morphogenesis
      2 GO:0042144	vacuole fusion, non-autophagic
      2 GO:0042273	ribosomal large subunit biogenesis
      2 GO:0042303	molting cycle
      2 GO:0042338	cuticle development involved in collagen and cuticulin-based cuticle molting cycle
      2 GO:0042391	regulation of membrane potential
      2 GO:0042403	thyroid hormone metabolic process
      2 GO:0042445	hormone metabolic process
      2 GO:0042558	pteridine-containing compound metabolic process
      2 GO:0042559	pteridine-containing compound biosynthetic process
      2 GO:0042752	regulation of circadian rhythm
      2 GO:0043200	response to amino acid
      2 GO:0043209	myelin sheath
      2 GO:0043254	regulation of protein-containing complex assembly
      2 GO:0043279	response to alkaloid
      2 GO:0043405	regulation of MAP kinase activity
      2 GO:0043406	positive regulation of MAP kinase activity
      2 GO:0043408	regulation of MAPK cascade
      2 GO:0043410	positive regulation of MAPK cascade
      2 GO:0043467	regulation of generation of precursor metabolites and energy
      2 GO:0043500	muscle adaptation
      2 GO:0043523	regulation of neuron apoptotic process
      2 GO:0043524	negative regulation of neuron apoptotic process
      2 GO:0043549	regulation of kinase activity
      2 GO:0043565	sequence-specific DNA binding
      2 GO:0043572	plastid fission
      2 GO:0043901	negative regulation of multi-organism process
      2 GO:0043903	regulation of symbiotic process
      2 GO:0044262	cellular carbohydrate metabolic process
      2 GO:0044273	sulfur compound catabolic process
      2 GO:0044421	obsolete extracellular region part
      2 GO:0044436	obsolete thylakoid part
      2 GO:0044440	obsolete endosomal part
      2 GO:0044455	obsolete mitochondrial membrane part
      2 GO:0044456	obsolete synapse part
      2 GO:0044706	multi-multicellular organism process
      2 GO:0044770	cell cycle phase transition
      2 GO:0044772	mitotic cell cycle phase transition
      2 GO:0044839	cell cycle G2/M phase transition
      2 GO:0045117	azole transmembrane transport
      2 GO:0045177	apical part of cell
      2 GO:0045202	synapse
      2 GO:0045333	cellular respiration
      2 GO:0045666	positive regulation of neuron differentiation
      2 GO:0045727	positive regulation of translation
      2 GO:0045732	positive regulation of protein catabolic process
      2 GO:0045859	regulation of protein kinase activity
      2 GO:0045860	positive regulation of protein kinase activity
      2 GO:0045862	positive regulation of proteolysis
      2 GO:0045926	negative regulation of growth
      2 GO:0046339	diacylglycerol metabolic process
      2 GO:0046683	response to organophosphorus
      2 GO:0046782	regulation of viral transcription
      2 GO:0046942	carboxylic acid transport
      2 GO:0046943	carboxylic acid transmembrane transporter activity
      2 GO:0048046	apoplast
      2 GO:0048067	cuticle pigmentation
      2 GO:0048085	adult chitin-containing cuticle pigmentation
      2 GO:0048229	gametophyte development
      2 GO:0048232	male gamete generation
      2 GO:0048316	seed development
      2 GO:0048364	root development
      2 GO:0048366	leaf development
      2 GO:0048565	digestive tract development
      2 GO:0048580	regulation of post-embryonic development
      2 GO:0048588	developmental cell growth
      2 GO:0048609	multicellular organismal reproductive process
      2 GO:0048660	regulation of smooth muscle cell proliferation
      2 GO:0048662	negative regulation of smooth muscle cell proliferation
      2 GO:0048667	cell morphogenesis involved in neuron differentiation
      2 GO:0048827	phyllome development
      2 GO:0048872	homeostasis of number of cells
      2 GO:0050661	NADP binding
      2 GO:0050664	oxidoreductase activity, acting on NAD(P)H, oxygen as acceptor
      2 GO:0050773	regulation of dendrite development
      2 GO:0050776	regulation of immune response
      2 GO:0050777	negative regulation of immune response
      2 GO:0050792	regulation of viral process
      2 GO:0050801	ion homeostasis
      2 GO:0050830	defense response to Gram-positive bacterium
      2 GO:0051020	GTPase binding
      2 GO:0051046	regulation of secretion
      2 GO:0051051	negative regulation of transport
      2 GO:0051052	regulation of DNA metabolic process
      2 GO:0051100	negative regulation of binding
      2 GO:0051149	positive regulation of muscle cell differentiation
      2 GO:0051150	regulation of smooth muscle cell differentiation
      2 GO:0051152	positive regulation of smooth muscle cell differentiation
      2 GO:0051181	obsolete cofactor transport
      2 GO:0051262	protein tetramerization
      2 GO:0051270	regulation of cellular component movement
      2 GO:0051272	positive regulation of cellular component movement
      2 GO:0051289	protein homotetramerization
      2 GO:0051321	meiotic cell cycle
      2 GO:0051336	regulation of hydrolase activity
      2 GO:0051345	positive regulation of hydrolase activity
      2 GO:0051347	positive regulation of transferase activity
      2 GO:0051591	response to cAMP
      2 GO:0051783	regulation of nuclear division
      2 GO:0051817	modulation of process of other organism involved in symbiotic interaction
      2 GO:0051881	regulation of mitochondrial membrane potential
      2 GO:0052689	carboxylic ester hydrolase activity
      2 GO:0055044	symplast
      2 GO:0055065	metal ion homeostasis
      2 GO:0055072	iron ion homeostasis
      2 GO:0055076	transition metal ion homeostasis
      2 GO:0055080	cation homeostasis
      2 GO:0055082	cellular chemical homeostasis
      2 GO:0055123	digestive system development
      2 GO:0060828	regulation of canonical Wnt signaling pathway
      2 GO:0061564	axon development
      2 GO:0070925	organelle assembly
      2 GO:0070988	demethylation
      2 GO:0071236	cellular response to antibiotic
      2 GO:0071241	cellular response to inorganic substance
      2 GO:0071248	cellular response to metal ion
      2 GO:0071265	L-methionine biosynthetic process
      2 GO:0071281	cellular response to iron ion
      2 GO:0071478	cellular response to radiation
      2 GO:0071482	cellular response to light stimulus
      2 GO:0071900	regulation of protein serine/threonine kinase activity
      2 GO:0071902	positive regulation of protein serine/threonine kinase activity
      2 GO:0072330	monocarboxylic acid biosynthetic process
      2 GO:0072348	sulfur compound transport
      2 GO:0072488	ammonium transmembrane transport
      2 GO:0072522	purine-containing compound biosynthetic process
      2 GO:0072527	pyrimidine-containing compound metabolic process
      2 GO:0090174	organelle membrane fusion
      2 GO:0090263	positive regulation of canonical Wnt signaling pathway
      2 GO:0090501	RNA phosphodiester bond hydrolysis
      2 GO:0090502	RNA phosphodiester bond hydrolysis, endonucleolytic
      2 GO:0090626	plant epidermis morphogenesis
      2 GO:0090627	plant epidermal cell differentiation
      2 GO:0097447	dendritic tree
      2 GO:0097485	neuron projection guidance
      2 GO:0097576	vacuole fusion
      2 GO:0097746	regulation of blood vessel diameter
      2 GO:0097755	positive regulation of blood vessel diameter
      2 GO:0098687	chromosomal region
      2 GO:0098771	inorganic ion homeostasis
      2 GO:0099080	supramolecular complex
      2 GO:0099081	supramolecular polymer
      2 GO:0099503	secretory vesicle
      2 GO:0099512	supramolecular fiber
      2 GO:0099513	polymeric cytoskeletal fiber
      2 GO:0110053	regulation of actin filament organization
      2 GO:0120035	regulation of plasma membrane bounded cell projection organization
      2 GO:0140030	modification-dependent protein binding
      2 GO:0140056	organelle localization by membrane tethering
      2 GO:0140097	catalytic activity, acting on DNA
      2 GO:0140101	catalytic activity, acting on a tRNA
      2 GO:0150034	distal axon
      2 GO:1901474	azole transmembrane transporter activity
      2 GO:1901568	fatty acid derivative metabolic process
      2 GO:1901616	organic hydroxy compound catabolic process
      2 GO:1901657	glycosyl compound metabolic process
      2 GO:1901682	sulfur compound transmembrane transporter activity
      2 GO:1901699	cellular response to nitrogen compound
      2 GO:1901796	regulation of signal transduction by p53 class mediator
      2 GO:1901800	positive regulation of proteasomal protein catabolic process
      2 GO:1901983	regulation of protein acetylation
      2 GO:1902475	L-alpha-amino acid transmembrane transport
      2 GO:1902749	regulation of cell cycle G2/M phase transition
      2 GO:1902807	negative regulation of cell cycle G1/S phase transition
      2 GO:1902903	regulation of supramolecular fiber organization
      2 GO:1903046	meiotic cell cycle process
      2 GO:1903052	positive regulation of proteolysis involved in cellular protein catabolic process
      2 GO:1903321	negative regulation of protein modification by small protein conjugation or removal
      2 GO:1903364	positive regulation of cellular protein catabolic process
      2 GO:1903530	regulation of secretion by cell
      2 GO:1903825	organic acid transmembrane transport
      2 GO:1904705	regulation of vascular associated smooth muscle cell proliferation
      2 GO:1904706	negative regulation of vascular associated smooth muscle cell proliferation
      2 GO:1905039	carboxylic acid transmembrane transport
      2 GO:1905063	regulation of vascular associated smooth muscle cell differentiation
      2 GO:1905065	positive regulation of vascular associated smooth muscle cell differentiation
      2 GO:1905269	positive regulation of chromatin organization
      2 GO:1990542	mitochondrial transmembrane transport
      2 GO:1990837	sequence-specific double-stranded DNA binding
      2 GO:2000045	regulation of G1/S transition of mitotic cell cycle
      2 GO:2000060	positive regulation of ubiquitin-dependent protein catabolic process
      2 GO:2000134	negative regulation of G1/S transition of mitotic cell cycle
      2 GO:2000145	regulation of cell motility
      2 GO:2000147	positive regulation of cell motility
      2 GO:2000241	regulation of reproductive process
      2 GO:2000243	positive regulation of reproductive process
      2 GO:2000756	regulation of peptidyl-lysine acetylation
      2 GO:2001242	regulation of intrinsic apoptotic signaling pathway
      2 GO:2001252	positive regulation of chromosome organization
      3 GO:0000097	sulfur amino acid biosynthetic process
      3 GO:0000184	nuclear-transcribed mRNA catabolic process, nonsense-mediated decay
      3 GO:0000956	nuclear-transcribed mRNA catabolic process
      3 GO:0001067	regulatory region nucleic acid binding
      3 GO:0001558	regulation of cell growth
      3 GO:0001666	response to hypoxia
      3 GO:0002009	morphogenesis of an epithelium
      3 GO:0002165	instar larval or pupal development
      3 GO:0002682	regulation of immune system process
      3 GO:0003008	system process
      3 GO:0003729	mRNA binding
      3 GO:0003735	structural constituent of ribosome
      3 GO:0004175	endopeptidase activity
      3 GO:0004601	peroxidase activity
      3 GO:0005198	structural molecule activity
      3 GO:0005516	calmodulin binding
      3 GO:0005524	ATP binding
      3 GO:0005793	endoplasmic reticulum-Golgi intermediate compartment
      3 GO:0005795	Golgi stack
      3 GO:0005815	microtubule organizing center
      3 GO:0005840	ribosome
      3 GO:0005844	polysome
      3 GO:0005856	cytoskeleton
      3 GO:0006163	purine nucleotide metabolic process
      3 GO:0006399	tRNA metabolic process
      3 GO:0006400	tRNA modification
      3 GO:0006402	mRNA catabolic process
      3 GO:0006486	protein glycosylation
      3 GO:0006555	methionine metabolic process
      3 GO:0006605	protein targeting
      3 GO:0006612	protein targeting to membrane
      3 GO:0006613	cotranslational protein targeting to membrane
      3 GO:0006614	SRP-dependent cotranslational protein targeting to membrane
      3 GO:0006638	neutral lipid metabolic process
      3 GO:0006639	acylglycerol metabolic process
      3 GO:0006766	vitamin metabolic process
      3 GO:0006767	water-soluble vitamin metabolic process
      3 GO:0006801	superoxide metabolic process
      3 GO:0006812	cation transport
      3 GO:0006897	endocytosis
      3 GO:0006915	apoptotic process
      3 GO:0006928	movement of cell or subcellular component
      3 GO:0006935	chemotaxis
      3 GO:0007041	lysosomal transport
      3 GO:0007267	cell-cell signaling
      3 GO:0007417	central nervous system development
      3 GO:0007420	brain development
      3 GO:0007444	imaginal disc development
      3 GO:0007472	wing disc morphogenesis
      3 GO:0007476	imaginal disc-derived wing morphogenesis
      3 GO:0007552	metamorphosis
      3 GO:0007560	imaginal disc morphogenesis
      3 GO:0008033	tRNA processing
      3 GO:0008168	methyltransferase activity
      3 GO:0008283	cell population proliferation
      3 GO:0008284	positive regulation of cell population proliferation
      3 GO:0008324	cation transmembrane transporter activity
      3 GO:0008514	organic anion transmembrane transporter activity
      3 GO:0008610	lipid biosynthetic process
      3 GO:0008630	intrinsic apoptotic signaling pathway in response to DNA damage
      3 GO:0009063	cellular amino acid catabolic process
      3 GO:0009066	aspartate family amino acid metabolic process
      3 GO:0009067	aspartate family amino acid biosynthetic process
      3 GO:0009086	methionine biosynthetic process
      3 GO:0009100	glycoprotein metabolic process
      3 GO:0009101	glycoprotein biosynthetic process
      3 GO:0009150	purine ribonucleotide metabolic process
      3 GO:0009165	nucleotide biosynthetic process
      3 GO:0009260	ribonucleotide biosynthetic process
      3 GO:0009267	cellular response to starvation
      3 GO:0009410	response to xenobiotic stimulus
      3 GO:0009416	response to light stimulus
      3 GO:0009581	detection of external stimulus
      3 GO:0009582	detection of abiotic stimulus
      3 GO:0009620	response to fungus
      3 GO:0009826	unidimensional cell growth
      3 GO:0009886	post-embryonic animal morphogenesis
      3 GO:0009941	chloroplast envelope
      3 GO:0010498	proteasomal protein catabolic process
      3 GO:0010638	positive regulation of organelle organization
      3 GO:0010639	negative regulation of organelle organization
      3 GO:0010720	positive regulation of cell development
      3 GO:0010948	negative regulation of cell cycle process
      3 GO:0012501	programmed cell death
      3 GO:0014074	response to purine-containing compound
      3 GO:0015101	organic cation transmembrane transporter activity
      3 GO:0015318	inorganic molecular entity transmembrane transporter activity
      3 GO:0015630	microtubule cytoskeleton
      3 GO:0015695	organic cation transport
      3 GO:0015711	organic anion transport
      3 GO:0015934	large ribosomal subunit
      3 GO:0015980	energy derivation by oxidation of organic compounds
      3 GO:0016050	vesicle organization
      3 GO:0016241	regulation of macroautophagy
      3 GO:0016298	lipase activity
      3 GO:0016567	protein ubiquitination
      3 GO:0016684	oxidoreductase activity, acting on peroxide as acceptor
      3 GO:0016757	transferase activity, transferring glycosyl groups
      3 GO:0017000	antibiotic biosynthetic process
      3 GO:0017076	purine nucleotide binding
      3 GO:0018205	peptidyl-lysine modification
      3 GO:0018958	phenol-containing compound metabolic process
      3 GO:0019787	ubiquitin-like protein transferase activity
      3 GO:0019842	vitamin binding
      3 GO:0020037	heme binding
      3 GO:0022604	regulation of cell morphogenesis
      3 GO:0022625	cytosolic large ribosomal subunit
      3 GO:0022626	cytosolic ribosome
      3 GO:0030170	pyridoxal phosphate binding
      3 GO:0030234	enzyme regulator activity
      3 GO:0030424	axon
      3 GO:0030554	adenyl nucleotide binding
      3 GO:0031056	regulation of histone modification
      3 GO:0031175	neuron projection development
      3 GO:0031300	intrinsic component of organelle membrane
      3 GO:0031625	ubiquitin protein ligase binding
      3 GO:0032092	positive regulation of protein binding
      3 GO:0032259	methylation
      3 GO:0032386	regulation of intracellular transport
      3 GO:0032555	purine ribonucleotide binding
      3 GO:0032559	adenyl ribonucleotide binding
      3 GO:0032870	cellular response to hormone stimulus
      3 GO:0032940	secretion by cell
      3 GO:0032990	cell part morphogenesis
      3 GO:0033044	regulation of chromosome organization
      3 GO:0033267	obsolete axon part
      3 GO:0034248	regulation of cellular amide metabolic process
      3 GO:0034250	positive regulation of cellular amide metabolic process
      3 GO:0034622	cellular protein-containing complex assembly
      3 GO:0035107	appendage morphogenesis
      3 GO:0035114	imaginal disc-derived appendage morphogenesis
      3 GO:0035120	post-embryonic appendage morphogenesis
      3 GO:0035220	wing disc development
      3 GO:0035639	purine ribonucleoside triphosphate binding
      3 GO:0035821	modulation of process of other organism
      3 GO:0036293	response to decreased oxygen levels
      3 GO:0040008	regulation of growth
      3 GO:0040012	regulation of locomotion
      3 GO:0040017	positive regulation of locomotion
      3 GO:0042060	wound healing
      3 GO:0042147	retrograde transport, endosome to Golgi
      3 GO:0042274	ribosomal small subunit biogenesis
      3 GO:0042330	taxis
      3 GO:0042335	cuticle development
      3 GO:0042398	cellular modified amino acid biosynthetic process
      3 GO:0042542	response to hydrogen peroxide
      3 GO:0042554	superoxide anion generation
      3 GO:0042578	phosphoric ester hydrolase activity
      3 GO:0042788	polysomal ribosome
      3 GO:0042803	protein homodimerization activity
      3 GO:0043085	positive regulation of catalytic activity
      3 GO:0043161	proteasome-mediated ubiquitin-dependent protein catabolic process
      3 GO:0043413	macromolecule glycosylation
      3 GO:0043414	macromolecule methylation
      3 GO:0043473	pigmentation
      3 GO:0043648	dicarboxylic acid metabolic process
      3 GO:0043900	regulation of multi-organism process
      3 GO:0044089	positive regulation of cellular component biogenesis
      3 GO:0044389	ubiquitin-like protein ligase binding
      3 GO:0044391	ribosomal subunit
      3 GO:0044403	symbiotic process
      3 GO:0044430	obsolete cytoskeletal part
      3 GO:0044445	obsolete cytosolic part
      3 GO:0044877	protein-containing complex binding
      3 GO:0045047	protein targeting to ER
      3 GO:0045596	negative regulation of cell differentiation
      3 GO:0045664	regulation of neuron differentiation
      3 GO:0045892	negative regulation of transcription, DNA-templated
      3 GO:0045930	negative regulation of mitotic cell cycle
      3 GO:0045944	positive regulation of transcription by RNA polymerase II
      3 GO:0046390	ribose phosphate biosynthetic process
      3 GO:0046486	glycerolipid metabolic process
      3 GO:0046677	response to antibiotic
      3 GO:0046906	tetrapyrrole binding
      3 GO:0046914	transition metal ion binding
      3 GO:0046983	protein dimerization activity
      3 GO:0048066	developmental pigmentation
      3 GO:0048284	organelle fusion
      3 GO:0048285	organelle fission
      3 GO:0048367	shoot system development
      3 GO:0048563	post-embryonic animal organ morphogenesis
      3 GO:0048569	post-embryonic animal organ development
      3 GO:0048608	reproductive structure development
      3 GO:0048707	instar larval or pupal morphogenesis
      3 GO:0048736	appendage development
      3 GO:0048737	imaginal disc-derived appendage development
      3 GO:0048812	neuron projection morphogenesis
      3 GO:0048858	cell projection morphogenesis
      3 GO:0048878	chemical homeostasis
      3 GO:0050665	hydrogen peroxide biosynthetic process
      3 GO:0050769	positive regulation of neurogenesis
      3 GO:0050832	defense response to fungus
      3 GO:0051050	positive regulation of transport
      3 GO:0051099	positive regulation of binding
      3 GO:0051147	regulation of muscle cell differentiation
      3 GO:0051187	obsolete cofactor catabolic process
      3 GO:0051241	negative regulation of multicellular organismal process
      3 GO:0051338	regulation of transferase activity
      3 GO:0051493	regulation of cytoskeleton organization
      3 GO:0051604	protein maturation
      3 GO:0051640	organelle localization
      3 GO:0051648	vesicle localization
      3 GO:0051650	establishment of vesicle localization
      3 GO:0051656	establishment of organelle localization
      3 GO:0051962	positive regulation of nervous system development
      3 GO:0060322	head development
      3 GO:0060429	epithelium development
      3 GO:0060562	epithelial tube morphogenesis
      3 GO:0060627	regulation of vesicle-mediated transport
      3 GO:0061025	membrane fusion
      3 GO:0061458	reproductive system development
      3 GO:0070279	vitamin B6 binding
      3 GO:0070482	response to oxygen levels
      3 GO:0070972	protein localization to endoplasmic reticulum
      3 GO:0071214	cellular response to abiotic stimulus
      3 GO:0072359	circulatory system development
      3 GO:0072521	purine-containing compound metabolic process
      3 GO:0072594	establishment of protein localization to organelle
      3 GO:0072599	establishment of protein localization to endoplasmic reticulum
      3 GO:0072657	protein localization to membrane
      3 GO:0080135	regulation of cellular response to stress
      3 GO:0090066	regulation of anatomical structure size
      3 GO:0090150	establishment of protein localization to membrane
      3 GO:0090305	nucleic acid phosphodiester bond hydrolysis
      3 GO:0090558	plant epidermis development
      3 GO:0097190	apoptotic signaling pathway
      3 GO:0097193	intrinsic apoptotic signaling pathway
      3 GO:0097421	liver regeneration
      3 GO:0098655	cation transmembrane transport
      3 GO:0098657	import into cell
      3 GO:0098772	molecular function regulator
      3 GO:0098796	membrane protein complex
      3 GO:0098852	lytic vacuole membrane
      3 GO:0104004	cellular response to environmental stimulus
      3 GO:0120039	plasma membrane bounded cell projection morphogenesis
      3 GO:1901214	regulation of neuron death
      3 GO:1901215	negative regulation of neuron death
      3 GO:1901293	nucleoside phosphate biosynthetic process
      3 GO:1901342	regulation of vasculature development
      3 GO:1901988	negative regulation of cell cycle phase transition
      3 GO:1901991	negative regulation of mitotic cell cycle phase transition
      3 GO:1902275	regulation of chromatin organization
      3 GO:1902679	negative regulation of RNA biosynthetic process
      3 GO:1902806	regulation of cell cycle G1/S phase transition
      3 GO:1903047	mitotic cell cycle process
      3 GO:1903320	regulation of protein modification by small protein conjugation or removal
      3 GO:1903409	reactive oxygen species biosynthetic process
      3 GO:1903507	negative regulation of nucleic acid-templated transcription
      3 GO:1904018	positive regulation of vasculature development
      3 GO:1990234	transferase complex
      3 GO:2001234	negative regulation of apoptotic signaling pathway
      4 GO:0000096	sulfur amino acid metabolic process
      4 GO:0000278	mitotic cell cycle
      4 GO:0000322	storage vacuole
      4 GO:0000324	fungal-type vacuole
      4 GO:0000790	nuclear chromatin
      4 GO:0000904	cell morphogenesis involved in differentiation
      4 GO:0001101	response to acid chemical
      4 GO:0001889	liver development
      4 GO:0001932	regulation of protein phosphorylation
      4 GO:0001934	positive regulation of protein phosphorylation
      4 GO:0002181	cytoplasmic translation
      4 GO:0005576	extracellular region
      4 GO:0005743	mitochondrial inner membrane
      4 GO:0006091	generation of precursor metabolites and energy
      4 GO:0006364	rRNA processing
      4 GO:0006401	RNA catabolic process
      4 GO:0006413	translational initiation
      4 GO:0006511	ubiquitin-dependent protein catabolic process
      4 GO:0006753	nucleoside phosphate metabolic process
      4 GO:0006820	anion transport
      4 GO:0006888	endoplasmic reticulum to Golgi vesicle-mediated transport
      4 GO:0006914	autophagy
      4 GO:0006955	immune response
      4 GO:0006970	response to osmotic stress
      4 GO:0007033	vacuole organization
      4 GO:0007034	vacuolar transport
      4 GO:0007584	response to nutrient
      4 GO:0008219	cell death
      4 GO:0008233	peptidase activity
      4 GO:0008285	negative regulation of cell population proliferation
      4 GO:0008509	anion transmembrane transporter activity
      4 GO:0009108	obsolete coenzyme biosynthetic process
      4 GO:0009117	nucleotide metabolic process
      4 GO:0009259	ribonucleotide metabolic process
      4 GO:0009314	response to radiation
      4 GO:0009451	RNA modification
      4 GO:0009611	response to wounding
      4 GO:0009657	plastid organization
      4 GO:0009790	embryo development
      4 GO:0009887	animal organ morphogenesis
      4 GO:0009890	negative regulation of biosynthetic process
      4 GO:0009896	positive regulation of catabolic process
      4 GO:0010506	regulation of autophagy
      4 GO:0010558	negative regulation of macromolecule biosynthetic process
      4 GO:0010817	regulation of hormone levels
      4 GO:0016049	cell growth
      4 GO:0016054	organic acid catabolic process
      4 GO:0016071	mRNA metabolic process
      4 GO:0016072	rRNA metabolic process
      4 GO:0016197	endosomal transport
      4 GO:0016209	antioxidant activity
      4 GO:0016482	cytosolic transport
      4 GO:0016741	transferase activity, transferring one-carbon groups
      4 GO:0016999	antibiotic metabolic process
      4 GO:0019221	cytokine-mediated signaling pathway
      4 GO:0019693	ribose phosphate metabolic process
      4 GO:0019866	organelle inner membrane
      4 GO:0019941	modification-dependent protein catabolic process
      4 GO:0019953	sexual reproduction
      4 GO:0030162	regulation of proteolysis
      4 GO:0030163	protein catabolic process
      4 GO:0031099	regeneration
      4 GO:0031100	animal organ regeneration
      4 GO:0031327	negative regulation of cellular biosynthetic process
      4 GO:0031331	positive regulation of cellular catabolic process
      4 GO:0031400	negative regulation of protein modification process
      4 GO:0031668	cellular response to extracellular stimulus
      4 GO:0031669	cellular response to nutrient levels
      4 GO:0031966	mitochondrial membrane
      4 GO:0032434	regulation of proteasomal ubiquitin-dependent protein catabolic process
      4 GO:0032446	protein modification by small protein conjugation
      4 GO:0032553	ribonucleotide binding
      4 GO:0032787	monocarboxylic acid metabolic process
      4 GO:0034614	cellular response to reactive oxygen species
      4 GO:0034654	nucleobase-containing compound biosynthetic process
      4 GO:0035239	tube morphogenesis
      4 GO:0040011	locomotion
      4 GO:0042176	regulation of protein catabolic process
      4 GO:0042592	homeostatic process
      4 GO:0042594	response to starvation
      4 GO:0042743	hydrogen peroxide metabolic process
      4 GO:0043393	regulation of protein binding
      4 GO:0043433	negative regulation of DNA-binding transcription factor activity
      4 GO:0043632	modification-dependent macromolecule catabolic process
      4 GO:0044257	cellular protein catabolic process
      4 GO:0044433	obsolete cytoplasmic vesicle part
      4 GO:0044451	obsolete nucleoplasm part
      4 GO:0044454	obsolete nuclear chromosome part
      4 GO:0045786	negative regulation of cell cycle
      4 GO:0045934	negative regulation of nucleobase-containing compound metabolic process
      4 GO:0046395	carboxylic acid catabolic process
      4 GO:0046686	response to cadmium ion
      4 GO:0046903	secretion
      4 GO:0048471	perinuclear region of cytoplasm
      4 GO:0048646	anatomical structure formation involved in morphogenesis
      4 GO:0048666	neuron development
      4 GO:0048729	tissue morphogenesis
      4 GO:0050767	regulation of neurogenesis
      4 GO:0051093	negative regulation of developmental process
      4 GO:0051129	negative regulation of cellular component organization
      4 GO:0051130	positive regulation of cellular component organization
      4 GO:0051253	negative regulation of RNA metabolic process
      4 GO:0051260	protein homooligomerization
      4 GO:0051603	proteolysis involved in cellular protein catabolic process
      4 GO:0051606	detection of stimulus
      4 GO:0051960	regulation of nervous system development
      4 GO:0055086	nucleobase-containing small molecule metabolic process
      4 GO:0060284	regulation of cell development
      4 GO:0060341	regulation of cellular localization
      4 GO:0060560	developmental growth involved in morphogenesis
      4 GO:0061008	hepaticobiliary system development
      4 GO:0061024	membrane organization
      4 GO:0061136	regulation of proteasomal protein catabolic process
      4 GO:0061919	process utilizing autophagic mechanism
      4 GO:0070085	glycosylation
      4 GO:0071496	cellular response to external stimulus
      4 GO:0072593	reactive oxygen species metabolic process
      4 GO:0090407	organophosphate biosynthetic process
      4 GO:0097367	carbohydrate derivative binding
      4 GO:0098590	plasma membrane region
      4 GO:0098656	anion transmembrane transport
      4 GO:0098869	cellular oxidant detoxification
      4 GO:0120036	plasma membrane bounded cell projection organization
      4 GO:0140110	transcription regulator activity
      4 GO:1901615	organic hydroxy compound metabolic process
      4 GO:1902494	catalytic complex
      4 GO:1902533	positive regulation of intracellular signal transduction
      4 GO:1903050	regulation of proteolysis involved in cellular protein catabolic process
      4 GO:1903362	regulation of cellular protein catabolic process
      4 GO:2000058	regulation of ubiquitin-dependent protein catabolic process
      4 GO:2000113	negative regulation of cellular macromolecule biosynthetic process
      4 GO:2001233	regulation of apoptotic signaling pathway
      5 GO:0000139	Golgi membrane
      5 GO:0000302	response to reactive oxygen species
      5 GO:0000323	lytic vacuole
      5 GO:0000785	chromatin
      5 GO:0002376	immune system process
      5 GO:0003006	developmental process involved in reproduction
      5 GO:0005215	transporter activity
      5 GO:0005740	mitochondrial envelope
      5 GO:0005759	mitochondrial matrix
      5 GO:0005768	endosome
      5 GO:0006325	chromatin organization
      5 GO:0006412	translation
      5 GO:0006732	obsolete coenzyme metabolic process
      5 GO:0006811	ion transport
      5 GO:0007049	cell cycle
      5 GO:0008652	cellular amino acid biosynthetic process
      5 GO:0009526	plastid envelope
      5 GO:0009532	plastid stroma
      5 GO:0009570	chloroplast stroma
      5 GO:0009617	response to bacterium
      5 GO:0009725	response to hormone
      5 GO:0009968	negative regulation of signal transduction
      5 GO:0010038	response to metal ion
      5 GO:0010562	positive regulation of phosphorus metabolic process
      5 GO:0010564	regulation of cell cycle process
      5 GO:0010648	negative regulation of cell communication
      5 GO:0015075	ion transmembrane transporter activity
      5 GO:0016462	pyrophosphatase activity
      5 GO:0016569	covalent chromatin modification
      5 GO:0016570	histone modification
      5 GO:0016817	hydrolase activity, acting on acid anhydrides
      5 GO:0016818	hydrolase activity, acting on acid anhydrides, in phosphorus-containing anhydrides
      5 GO:0018105	peptidyl-serine phosphorylation
      5 GO:0018209	peptidyl-serine modification
      5 GO:0019220	regulation of phosphate metabolic process
      5 GO:0019438	aromatic compound biosynthetic process
      5 GO:0022402	cell cycle process
      5 GO:0022613	ribonucleoprotein complex biogenesis
      5 GO:0022857	transmembrane transporter activity
      5 GO:0023057	negative regulation of signaling
      5 GO:0030030	cell projection organization
      5 GO:0030182	neuron differentiation
      5 GO:0032269	negative regulation of cellular protein metabolic process
      5 GO:0033365	protein localization to organelle
      5 GO:0034097	response to cytokine
      5 GO:0034220	ion transmembrane transport
      5 GO:0034655	nucleobase-containing compound catabolic process
      5 GO:0034976	response to endoplasmic reticulum stress
      5 GO:0035690	cellular response to drug
      5 GO:0036477	somatodendritic compartment
      5 GO:0042254	ribosome biogenesis
      5 GO:0042325	regulation of phosphorylation
      5 GO:0042327	positive regulation of phosphorylation
