      1 GO:0000019	regulation of mitotic recombination
     12 GO:1903829	positive regulation of cellular protein localization
     12 GO:1990542	mitochondrial transmembrane transport
     13 GO:0000041	transition metal ion transport
     13 GO:0000460	maturation of 5.8S rRNA
     13 GO:0002684	positive regulation of immune system process
     13 GO:0003002	regionalization
     13 GO:0003700	DNA-binding transcription factor activity
     13 GO:0005618	cell wall
     13 GO:0005684	U2-type spliceosomal complex
     13 GO:0006109	regulation of carbohydrate metabolic process
     13 GO:0006353	DNA-templated transcription, termination
     13 GO:0006354	DNA-templated transcription, elongation
     13 GO:0007167	enzyme linked receptor protein signaling pathway
     13 GO:0007420	brain development
     13 GO:0008283	cell population proliferation
     13 GO:0008284	positive regulation of cell population proliferation
     13 GO:0008654	phospholipid biosynthetic process
     13 GO:0009451	RNA modification
     13 GO:0009737	response to abscisic acid
     13 GO:0009793	embryo development ending in seed dormancy
     13 GO:0010565	regulation of cellular ketone metabolic process
     13 GO:0010970	transport along microtubule
     13 GO:0015629	actin cytoskeleton
     13 GO:0015748	organophosphate ester transport
     13 GO:0016051	carbohydrate biosynthetic process
     13 GO:0016579	protein deubiquitination
     13 GO:0016616	oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor
     13 GO:0016627	oxidoreductase activity, acting on the CH-CH group of donors
     13 GO:0030100	regulation of endocytosis
     13 GO:0030117	membrane coat
     13 GO:0030662	coated vesicle membrane
     13 GO:0031175	neuron projection development
     13 GO:0031330	negative regulation of cellular catabolic process
     13 GO:0031902	late endosome membrane
     13 GO:0032535	regulation of cellular component size
     13 GO:0042742	defense response to bacterium
     13 GO:0043022	ribosome binding
     13 GO:0043269	regulation of ion transport
     13 GO:0043281	regulation of cysteine-type endopeptidase activity involved in apoptotic process
     13 GO:0043903	regulation of symbiotic process
     13 GO:0044770	cell cycle phase transition
     13 GO:0045177	apical part of cell
     13 GO:0045292	mRNA cis splicing, via spliceosome
     13 GO:0048475	coated membrane
     13 GO:0048511	rhythmic process
     13 GO:0048580	regulation of post-embryonic development
     13 GO:0050877	nervous system process
     13 GO:0051047	positive regulation of secretion
     13 GO:0051082	unfolded protein binding
     13 GO:0060322	head development
     13 GO:0060968	regulation of gene silencing
     13 GO:0062013	positive regulation of small molecule metabolic process
     13 GO:0070838	divalent metal ion transport
     13 GO:0071236	cellular response to antibiotic
     13 GO:0071241	cellular response to inorganic substance
     13 GO:0071478	cellular response to radiation
     13 GO:0072511	divalent inorganic cation transport
     13 GO:0098552	side of membrane
     13 GO:0098797	plasma membrane protein complex
     13 GO:0099111	microtubule-based transport
     13 GO:1901214	regulation of neuron death
     13 GO:1901617	organic hydroxy compound biosynthetic process
     13 GO:1902850	microtubule cytoskeleton organization involved in mitosis
     13 GO:1903320	regulation of protein modification by small protein conjugation or removal
     13 GO:1903532	positive regulation of secretion by cell
     13 GO:2000116	regulation of cysteine-type endopeptidase activity
     14 GO:0000288	nuclear-transcribed mRNA catabolic process, deadenylation-dependent decay
     14 GO:0003743	translation initiation factor activity
     14 GO:0006066	alcohol metabolic process
     14 GO:0006260	DNA replication
     14 GO:0006352	DNA-templated transcription, initiation
     14 GO:0006406	mRNA export from nucleus
     14 GO:0006487	protein N-linked glycosylation
     14 GO:0006614	SRP-dependent cotranslational protein targeting to membrane
     14 GO:0006631	fatty acid metabolic process
     14 GO:0006935	chemotaxis
     14 GO:0006986	response to unfolded protein
     14 GO:0007093	mitotic cell cycle checkpoint
     14 GO:0007163	establishment or maintenance of cell polarity
     14 GO:0007389	pattern specification process
     14 GO:0007548	sex differentiation
     14 GO:0007610	behavior
     14 GO:0008237	metallopeptidase activity
     14 GO:0008514	organic anion transmembrane transporter activity
     14 GO:0009124	nucleoside monophosphate biosynthetic process
     14 GO:0009611	response to wounding
     14 GO:0009895	negative regulation of catabolic process
     14 GO:0010975	regulation of neuron projection development
     14 GO:0015672	monovalent inorganic cation transport
     14 GO:0015934	large ribosomal subunit
     14 GO:0015980	energy derivation by oxidation of organic compounds
     14 GO:0016241	regulation of macroautophagy
     14 GO:0016482	cytosolic transport
     14 GO:0016614	oxidoreductase activity, acting on CH-OH group of donors
     14 GO:0016810	hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds
     14 GO:0016829	lyase activity
     14 GO:0022900	electron transport chain
     14 GO:0030003	cellular cation homeostasis
     14 GO:0030133	transport vesicle
     14 GO:0030312	external encapsulating structure
     14 GO:0030705	cytoskeleton-dependent intracellular transport
     14 GO:0031400	negative regulation of protein modification process
     14 GO:0042327	positive regulation of phosphorylation
     14 GO:0042578	phosphoric ester hydrolase activity
     14 GO:0043434	response to peptide hormone
     14 GO:0043565	sequence-specific DNA binding
     14 GO:0051028	mRNA transport
     14 GO:0051347	positive regulation of transferase activity
     14 GO:0051604	protein maturation
     14 GO:0061630	ubiquitin protein ligase activity
     14 GO:0061659	ubiquitin-like protein ligase activity
     14 GO:0065002	intracellular protein transmembrane transport
     14 GO:0070507	regulation of microtubule cytoskeleton organization
     14 GO:0071407	cellular response to organic cyclic compound
     14 GO:0071427	mRNA-containing ribonucleoprotein complex export from nucleus
     14 GO:0071806	protein transmembrane transport
     14 GO:0072665	protein localization to vacuole
     14 GO:0098590	plasma membrane region
     14 GO:0099513	polymeric cytoskeletal fiber
     14 GO:0140053	mitochondrial gene expression
     14 GO:1901264	carbohydrate derivative transport
     14 GO:1901652	response to peptide
     14 GO:1903046	meiotic cell cycle process
     14 GO:1903050	regulation of proteolysis involved in cellular protein catabolic process
     14 GO:1903362	regulation of cellular protein catabolic process
     14 GO:2000145	regulation of cell motility
     15 GO:0000070	mitotic sister chromatid segregation
     15 GO:0000322	storage vacuole
     15 GO:0000324	fungal-type vacuole
     15 GO:0000428	DNA-directed RNA polymerase complex
     15 GO:0000502	proteasome complex
     15 GO:0000932	P-body
     15 GO:0004175	endopeptidase activity
     15 GO:0004386	helicase activity
     15 GO:0005525	GTP binding
     15 GO:0005765	lysosomal membrane
     15 GO:0005795	Golgi stack
     15 GO:0005813	centrosome
     15 GO:0006310	DNA recombination
     15 GO:0006486	protein glycosylation
     15 GO:0006613	cotranslational protein targeting to membrane
     15 GO:0006892	post-Golgi vesicle-mediated transport
     15 GO:0007033	vacuole organization
     15 GO:0007051	spindle organization
     15 GO:0008047	enzyme activator activity
     15 GO:0009534	chloroplast thylakoid
     15 GO:0009615	response to virus
     15 GO:0009743	response to carbohydrate
     15 GO:0015399	primary active transmembrane transporter activity
     15 GO:0015935	small ribosomal subunit
     15 GO:0016054	organic acid catabolic process
     15 GO:0016569	covalent chromatin modification
     15 GO:0016570	histone modification
     15 GO:0016651	oxidoreductase activity, acting on NAD(P)H
     15 GO:0017148	negative regulation of translation
     15 GO:0019362	pyridine nucleotide metabolic process
     15 GO:0019901	protein kinase binding
     15 GO:0030433	ubiquitin-dependent ERAD pathway
     15 GO:0030880	RNA polymerase complex
     15 GO:0031123	RNA 3'-end processing
     15 GO:0031647	regulation of protein stability
     15 GO:0031976	plastid thylakoid
     15 GO:0032386	regulation of intracellular transport
     15 GO:0034249	negative regulation of cellular amide metabolic process
     15 GO:0042176	regulation of protein catabolic process
     15 GO:0043086	negative regulation of catalytic activity
     15 GO:0043413	macromolecule glycosylation
     15 GO:0043687	post-translational protein modification
     15 GO:0045842	positive regulation of mitotic metaphase/anaphase transition
     15 GO:0046395	carboxylic acid catabolic process
     15 GO:0046496	nicotinamide nucleotide metabolic process
     15 GO:0048367	shoot system development
     15 GO:0048598	embryonic morphogenesis
     15 GO:0048666	neuron development
     15 GO:0051051	negative regulation of transport
     15 GO:0051703	intraspecies interaction between organisms
     15 GO:0052548	regulation of endopeptidase activity
     15 GO:0055029	nuclear DNA-directed RNA polymerase complex
     15 GO:0055065	metal ion homeostasis
     15 GO:0062033	positive regulation of mitotic sister chromatid segregation
     15 GO:0070035	obsolete purine NTP-dependent helicase activity
     15 GO:0071345	cellular response to cytokine stimulus
     15 GO:0071396	cellular response to lipid
     15 GO:0150034	distal axon
     15 GO:1901970	positive regulation of mitotic sister chromatid separation
     15 GO:1902101	positive regulation of metaphase/anaphase transition of cell cycle
     15 GO:1902115	regulation of organelle assembly
     15 GO:1902275	regulation of chromatin organization
     15 GO:1904951	positive regulation of establishment of protein localization
     15 GO:1905369	endopeptidase complex
     15 GO:1905820	positive regulation of chromosome separation
     15 GO:2001233	regulation of apoptotic signaling pathway
     16 GO:0001882	nucleoside binding
     16 GO:0001883	purine nucleoside binding
     16 GO:0002274	myeloid leukocyte activation
     16 GO:0002275	myeloid cell activation involved in immune response
     16 GO:0002283	neutrophil activation involved in immune response
     16 GO:0002444	myeloid leukocyte mediated immunity
     16 GO:0002446	neutrophil mediated immunity
     16 GO:0004518	nuclease activity
     16 GO:0004540	ribonuclease activity
     16 GO:0005543	phospholipid binding
     16 GO:0005777	peroxisome
     16 GO:0006644	phospholipid metabolic process
     16 GO:0006873	cellular ion homeostasis
     16 GO:0007423	sensory organ development
     16 GO:0008092	cytoskeletal protein binding
     16 GO:0008509	anion transmembrane transporter activity
     16 GO:0010562	positive regulation of phosphorus metabolic process
     16 GO:0016049	cell growth
     16 GO:0016311	dephosphorylation
     16 GO:0019001	guanyl nucleotide binding
     16 GO:0030139	endocytic vesicle
     16 GO:0030425	dendrite
     16 GO:0031334	positive regulation of protein-containing complex assembly
     16 GO:0031625	ubiquitin protein ligase binding
     16 GO:0031965	nuclear membrane
     16 GO:0032549	ribonucleoside binding
     16 GO:0032550	purine ribonucleoside binding
     16 GO:0032561	guanyl ribonucleotide binding
     16 GO:0034399	nuclear periphery
     16 GO:0035967	cellular response to topologically incorrect protein
     16 GO:0036230	granulocyte activation
     16 GO:0036503	ERAD pathway
     16 GO:0042119	neutrophil activation
     16 GO:0042273	ribosomal large subunit biogenesis
     16 GO:0042274	ribosomal small subunit biogenesis
     16 GO:0042330	taxis
     16 GO:0042579	microbody
     16 GO:0043312	neutrophil degranulation
     16 GO:0043414	macromolecule methylation
     16 GO:0043624	cellular protein complex disassembly
     16 GO:0044389	ubiquitin-like protein ligase binding
     16 GO:0044421	obsolete extracellular region part
     16 GO:0045597	positive regulation of cell differentiation
     16 GO:0045664	regulation of neuron differentiation
     16 GO:0045937	positive regulation of phosphate metabolic process
     16 GO:0046486	glycerolipid metabolic process
     16 GO:0048870	cell motility
     16 GO:0051093	negative regulation of developmental process
     16 GO:0051260	protein homooligomerization
     16 GO:0051270	regulation of cellular component movement
     16 GO:0051674	localization of cell
     16 GO:0051781	positive regulation of cell division
     16 GO:0051984	positive regulation of chromosome segregation
     16 GO:0052547	regulation of peptidase activity
     16 GO:0070085	glycosylation
     16 GO:0070646	protein modification by small protein removal
     16 GO:0071417	cellular response to organonitrogen compound
     16 GO:0090066	regulation of anatomical structure size
     16 GO:0097447	dendritic tree
     16 GO:0098687	chromosomal region
     16 GO:0098793	presynapse
     16 GO:1901607	alpha-amino acid biosynthetic process
     16 GO:1901991	negative regulation of mitotic cell cycle phase transition
     17 GO:0000075	cell cycle checkpoint
     17 GO:0000122	negative regulation of transcription by RNA polymerase II
     17 GO:0000151	ubiquitin ligase complex
     17 GO:0000281	mitotic cytokinesis
     17 GO:0002443	leukocyte mediated immunity
     17 GO:0004842	ubiquitin-protein transferase activity
     17 GO:0005819	spindle
     17 GO:0006289	nucleotide-excision repair
     17 GO:0006888	endoplasmic reticulum to Golgi vesicle-mediated transport
     17 GO:0007417	central nervous system development
     17 GO:0008652	cellular amino acid biosynthetic process
     17 GO:0010154	fruit development
     17 GO:0016236	macroautophagy
     17 GO:0017016	Ras GTPase binding
     17 GO:0030029	actin filament-based process
     17 GO:0030036	actin cytoskeleton organization
     17 GO:0030135	coated vesicle
     17 GO:0031267	small GTPase binding
     17 GO:0032436	positive regulation of proteasomal ubiquitin-dependent protein catabolic process
     17 GO:0032886	regulation of microtubule-based process
     17 GO:0033267	obsolete axon part
     17 GO:0034599	cellular response to oxidative stress
     17 GO:0043299	leukocyte degranulation
     17 GO:0044262	cellular carbohydrate metabolic process
     17 GO:0044272	sulfur compound biosynthetic process
     17 GO:0045840	positive regulation of mitotic nuclear division
     17 GO:0048316	seed development
     17 GO:0050776	regulation of immune response
     17 GO:0051648	vesicle localization
     17 GO:0051650	establishment of vesicle localization
     17 GO:0051785	positive regulation of nuclear division
     17 GO:0072330	monocarboxylic acid biosynthetic process
     17 GO:0097237	cellular response to toxic substance
     17 GO:0098771	inorganic ion homeostasis
     17 GO:1903530	regulation of secretion by cell
     17 GO:1905368	peptidase complex
     18 GO:0000184	nuclear-transcribed mRNA catabolic process, nonsense-mediated decay
     18 GO:0000904	cell morphogenesis involved in differentiation
     18 GO:0002263	cell activation involved in immune response
     18 GO:0002366	leukocyte activation involved in immune response
     18 GO:0003690	double-stranded DNA binding
     18 GO:0005844	polysome
     18 GO:0005938	cell cortex
     18 GO:0006733	obsolete oxidoreduction coenzyme metabolic process
     18 GO:0007018	microtubule-based movement
     18 GO:0019787	ubiquitin-like protein transferase activity
     18 GO:0019900	kinase binding
     18 GO:0034097	response to cytokine
     18 GO:0035690	cellular response to drug
     18 GO:0042255	ribosome assembly
     18 GO:0043021	ribonucleoprotein complex binding
     18 GO:0043025	neuronal cell body
     18 GO:0051321	meiotic cell cycle
     18 GO:0055080	cation homeostasis
     18 GO:0072524	pyridine-containing compound metabolic process
     18 GO:0120035	regulation of plasma membrane bounded cell projection organization
     18 GO:0140014	mitotic nuclear division
     18 GO:1901699	cellular response to nitrogen compound
     18 GO:1901800	positive regulation of proteasomal protein catabolic process
     18 GO:1901988	negative regulation of cell cycle phase transition
     18 GO:1903052	positive regulation of proteolysis involved in cellular protein catabolic process
     18 GO:1903364	positive regulation of cellular protein catabolic process
     18 GO:1903827	regulation of cellular protein localization
     19 GO:0000819	sister chromatid segregation
     19 GO:0003008	system process
     19 GO:0005102	signaling receptor binding
     19 GO:0005815	microtubule organizing center
     19 GO:0009101	glycoprotein biosynthetic process
     19 GO:0009617	response to bacterium
     19 GO:0010506	regulation of autophagy
     19 GO:0010817	regulation of hormone levels
     19 GO:0010965	regulation of mitotic sister chromatid separation
     19 GO:0016197	endosomal transport
     19 GO:0017038	protein import
     19 GO:0030030	cell projection organization
     19 GO:0030071	regulation of mitotic metaphase/anaphase transition
     19 GO:0031344	regulation of cell projection organization
     19 GO:0045732	positive regulation of protein catabolic process
     19 GO:0046034	ATP metabolic process
     19 GO:0046890	regulation of lipid biosynthetic process
     19 GO:0050767	regulation of neurogenesis
     19 GO:0051046	regulation of secretion
     19 GO:0051223	regulation of protein transport
     19 GO:0051345	positive regulation of hydrolase activity
     19 GO:0051960	regulation of nervous system development
     19 GO:0071103	DNA conformation change
     19 GO:0071824	protein-DNA complex subunit organization
     19 GO:0099402	plant organ development
     19 GO:0099568	cytoplasmic region
     19 GO:0120036	plasma membrane bounded cell projection organization
     19 GO:1902099	regulation of metaphase/anaphase transition of cell cycle
     19 GO:1903311	regulation of mRNA metabolic process
     19 GO:1905818	regulation of chromosome separation
     20 GO:0000226	microtubule cytoskeleton organization
     20 GO:0005764	lysosome
     20 GO:0005770	late endosome
     20 GO:0006457	protein folding
     20 GO:0008340	determination of adult lifespan
     20 GO:0009126	purine nucleoside monophosphate metabolic process
     20 GO:0009161	ribonucleoside monophosphate metabolic process
     20 GO:0009167	purine ribonucleoside monophosphate metabolic process
     20 GO:0009579	thylakoid
     20 GO:0010259	multicellular organism aging
     20 GO:0022604	regulation of cell morphogenesis
     20 GO:0030141	secretory granule
     20 GO:0032259	methylation
     20 GO:0035295	tube development
     20 GO:0043066	negative regulation of apoptotic process
     20 GO:0044089	positive regulation of cellular component biogenesis
     20 GO:0045047	protein targeting to ER
     20 GO:0045321	leukocyte activation
     20 GO:0045930	negative regulation of mitotic cell cycle
     20 GO:0048477	oogenesis
     20 GO:0048589	developmental growth
     20 GO:0055082	cellular chemical homeostasis
     20 GO:0061640	cytoskeleton-dependent cytokinesis
     20 GO:0070972	protein localization to endoplasmic reticulum
     20 GO:0072599	establishment of protein localization to endoplasmic reticulum
     20 GO:0099080	supramolecular complex
     20 GO:0099081	supramolecular polymer
     20 GO:0099512	supramolecular fiber
     21 GO:0000910	cytokinesis
     21 GO:0003682	chromatin binding
     21 GO:0004674	protein serine/threonine kinase activity
     21 GO:0005681	spliceosomal complex
     21 GO:0006915	apoptotic process
     21 GO:0008289	lipid binding
     21 GO:0009141	nucleoside triphosphate metabolic process
     21 GO:0009144	purine nucleoside triphosphate metabolic process
     21 GO:0009199	ribonucleoside triphosphate metabolic process
     21 GO:0009205	purine ribonucleoside triphosphate metabolic process
     21 GO:0010639	negative regulation of organelle organization
     21 GO:0016050	vesicle organization
     21 GO:0016458	gene silencing
     21 GO:0022890	inorganic cation transmembrane transporter activity
     21 GO:0030182	neuron differentiation
     21 GO:0033047	regulation of mitotic sister chromatid segregation
     21 GO:0036477	somatodendritic compartment
     21 GO:0040012	regulation of locomotion
     21 GO:0043069	negative regulation of programmed cell death
     21 GO:0043902	positive regulation of multi-organism process
     21 GO:0044282	small molecule catabolic process
     21 GO:0044297	cell body
     21 GO:0044456	obsolete synapse part
     21 GO:0045202	synapse
     21 GO:0050662	obsolete coenzyme binding
     21 GO:0051241	negative regulation of multicellular organismal process
     21 GO:0051338	regulation of transferase activity
     21 GO:0051493	regulation of cytoskeleton organization
     21 GO:0060429	epithelium development
     21 GO:0061695	transferase complex, transferring phosphorus-containing groups
     21 GO:0071166	ribonucleoprotein complex localization
     21 GO:0071426	ribonucleoprotein complex export from nucleus
     21 GO:0080135	regulation of cellular response to stress
     21 GO:0098656	anion transmembrane transport
     21 GO:0098813	nuclear chromosome segregation
     21 GO:1901989	positive regulation of cell cycle phase transition
     21 GO:1901992	positive regulation of mitotic cell cycle phase transition
     22 GO:0000902	cell morphogenesis
     22 GO:0001932	regulation of protein phosphorylation
     22 GO:0004672	protein kinase activity
     22 GO:0006405	RNA export from nucleus
     22 GO:0006612	protein targeting to membrane
     22 GO:0008134	transcription factor binding
     22 GO:0009123	nucleoside monophosphate metabolic process
     22 GO:0009651	response to salt stress
     22 GO:0010948	negative regulation of cell cycle process
     22 GO:0016032	viral process
     22 GO:0019216	regulation of lipid metabolic process
     22 GO:0022804	active transmembrane transporter activity
     22 GO:0030659	cytoplasmic vesicle membrane
     22 GO:0030684	preribosome
     22 GO:0031347	regulation of defense response
     22 GO:0031401	positive regulation of protein modification process
     22 GO:0035966	response to topologically incorrect protein
     22 GO:0043254	regulation of protein-containing complex assembly
     22 GO:0045055	regulated exocytosis
     22 GO:0050801	ion homeostasis
     22 GO:0051052	regulation of DNA metabolic process
     22 GO:0098852	lytic vacuole membrane
     23 GO:0001775	cell activation
     23 GO:0006611	protein export from nucleus
     23 GO:0009100	glycoprotein metabolic process
     23 GO:0009408	response to heat
     23 GO:0009887	animal organ morphogenesis
     23 GO:0010494	cytoplasmic stress granule
     23 GO:0012506	vesicle membrane
     23 GO:0016607	nuclear speck
     23 GO:0019904	protein domain specific binding
     23 GO:0030001	metal ion transport
     23 GO:0033045	regulation of sister chromatid segregation
     23 GO:0040008	regulation of growth
     23 GO:0040029	regulation of gene expression, epigenetic
     23 GO:0042803	protein homodimerization activity
     23 GO:0045087	innate immune response
     23 GO:0051020	GTPase binding
     23 GO:0060627	regulation of vesicle-mediated transport
     23 GO:0070201	regulation of establishment of protein localization
     23 GO:0071214	cellular response to abiotic stimulus
     23 GO:0097305	response to alcohol
     23 GO:0099503	secretory vesicle
     23 GO:0104004	cellular response to environmental stimulus
     23 GO:1901605	alpha-amino acid metabolic process
     23 GO:1901615	organic hydroxy compound metabolic process
     23 GO:1902531	regulation of intracellular signal transduction
     24 GO:0002252	immune effector process
     24 GO:0002682	regulation of immune system process
     24 GO:0006839	mitochondrial transport
     24 GO:0006897	endocytosis
     24 GO:0007034	vacuolar transport
     24 GO:0007292	female gamete generation
     24 GO:0008324	cation transmembrane transporter activity
     24 GO:0010256	endomembrane system organization
     24 GO:0015711	organic anion transport
     24 GO:0016853	isomerase activity
     24 GO:0031301	integral component of organelle membrane
     24 GO:0031503	protein-containing complex localization
     24 GO:0032101	regulation of response to external stimulus
     24 GO:0032984	protein-containing complex disassembly
     24 GO:0043065	positive regulation of apoptotic process
     24 GO:0045931	positive regulation of mitotic cell cycle
     24 GO:0051168	nuclear export
     24 GO:0051983	regulation of chromosome segregation
     24 GO:0060284	regulation of cell development
     24 GO:0090087	regulation of peptide transport
     24 GO:0098662	inorganic cation transmembrane transport
     24 GO:2000241	regulation of reproductive process
     25 GO:0005802	trans-Golgi network
     25 GO:0006164	purine nucleotide biosynthetic process
     25 GO:0006887	exocytosis
     25 GO:0006914	autophagy
     25 GO:0008135	translation factor activity, RNA binding
     25 GO:0008270	zinc ion binding
     25 GO:0009152	purine ribonucleotide biosynthetic process
     25 GO:0009260	ribonucleotide biosynthetic process
     25 GO:0009267	cellular response to starvation
     25 GO:0030424	axon
     25 GO:0031300	intrinsic component of organelle membrane
     25 GO:0042277	peptide binding
     25 GO:0044455	obsolete mitochondrial membrane part
     25 GO:0046390	ribose phosphate biosynthetic process
     25 GO:0046677	response to antibiotic
     25 GO:0046686	response to cadmium ion
     25 GO:0048471	perinuclear region of cytoplasm
     25 GO:0051259	protein complex oligomerization
     25 GO:0061919	process utilizing autophagic mechanism
     25 GO:0098542	defense response to other organism
     25 GO:2001252	positive regulation of chromosome organization
     26 GO:0000280	nuclear division
     26 GO:0000790	nuclear chromatin
     26 GO:0006399	tRNA metabolic process
     26 GO:0009108	obsolete coenzyme biosynthetic process
     26 GO:0009792	embryo development ending in birth or egg hatching
     26 GO:0030176	integral component of endoplasmic reticulum membrane
     26 GO:0030234	enzyme regulator activity
     26 GO:0031227	intrinsic component of endoplasmic reticulum membrane
     26 GO:0032870	cellular response to hormone stimulus
     26 GO:0043068	positive regulation of programmed cell death
     26 GO:0045862	positive regulation of proteolysis
     26 GO:0050657	nucleic acid transport
     26 GO:0050658	RNA transport
     26 GO:0051236	establishment of RNA localization
     26 GO:0051336	regulation of hydrolase activity
     26 GO:0072522	purine-containing compound biosynthetic process
     26 GO:0098657	import into cell
     27 GO:0005635	nuclear envelope
     27 GO:0006403	RNA localization
     27 GO:0006413	translational initiation
     27 GO:0007059	chromosome segregation
     27 GO:0007283	spermatogenesis
     27 GO:0009941	chloroplast envelope
     27 GO:0010008	endosome membrane
     27 GO:0012501	programmed cell death
     27 GO:0030162	regulation of proteolysis
     27 GO:0031331	positive regulation of cellular catabolic process
     27 GO:0032989	cellular component morphogenesis
     27 GO:0033218	amide binding
     27 GO:0042127	regulation of cell population proliferation
     27 GO:0045892	negative regulation of transcription, DNA-templated
     27 GO:0048285	organelle fission
     27 GO:0098660	inorganic ion transmembrane transport
     27 GO:0098798	mitochondrial protein complex
     27 GO:1902679	negative regulation of RNA biosynthetic process
     27 GO:1903507	negative regulation of nucleic acid-templated transcription
     28 GO:0007088	regulation of mitotic nuclear division
     28 GO:0007166	cell surface receptor signaling pathway
     28 GO:0008233	peptidase activity
     28 GO:0009266	response to temperature stimulus
     28 GO:0009896	positive regulation of catabolic process
     28 GO:0009968	negative regulation of signal transduction
     28 GO:0010648	negative regulation of cell communication
     28 GO:0016567	protein ubiquitination
     28 GO:0016604	nuclear body
     28 GO:0023057	negative regulation of signaling
     28 GO:0031669	cellular response to nutrient levels
     28 GO:0044092	negative regulation of molecular function
     28 GO:0046983	protein dimerization activity
     28 GO:0051253	negative regulation of RNA metabolic process
     28 GO:0090068	positive regulation of cell cycle process
     28 GO:0090150	establishment of protein localization to membrane
     28 GO:0090501	RNA phosphodiester bond hydrolysis
     29 GO:0003735	structural constituent of ribosome
     29 GO:0005975	carbohydrate metabolic process
     29 GO:0006366	transcription by RNA polymerase II
     29 GO:0006820	anion transport
     29 GO:0006913	nucleocytoplasmic transport
     29 GO:0007281	germ cell development
     29 GO:0009526	plastid envelope
     29 GO:0010942	positive regulation of cell death
     29 GO:0044391	ribosomal subunit
     29 GO:0044403	symbiotic process
     29 GO:0045786	negative regulation of cell cycle
     29 GO:0045944	positive regulation of transcription by RNA polymerase II
     29 GO:0051094	positive regulation of developmental process
     29 GO:0051169	nuclear transport
     29 GO:0060548	negative regulation of cell death
     29 GO:0098655	cation transmembrane transport
     30 GO:0000398	mRNA splicing, via spliceosome
     30 GO:0000785	chromatin
     30 GO:0000956	nuclear-transcribed mRNA catabolic process
     30 GO:0008219	cell death
     30 GO:0009967	positive regulation of signal transduction
     30 GO:0022411	cellular component disassembly
     30 GO:0032446	protein modification by small protein conjugation
     30 GO:0032880	regulation of protein localization
     30 GO:0032940	secretion by cell
     30 GO:0042325	regulation of phosphorylation
     30 GO:0044440	obsolete endosomal part
     30 GO:0045787	positive regulation of cell cycle
     30 GO:0046903	secretion
     30 GO:0048646	anatomical structure formation involved in morphogenesis
     30 GO:0051783	regulation of nuclear division
     30 GO:0140110	transcription regulator activity
     31 GO:0000323	lytic vacuole
     31 GO:0000377	RNA splicing, via transesterification reactions with bulged adenosine as nucleophile
     31 GO:0001101	response to acid chemical
     31 GO:0006402	mRNA catabolic process
     31 GO:0006468	protein phosphorylation
     31 GO:0006970	response to osmotic stress
     31 GO:0009165	nucleotide biosynthetic process
     31 GO:0019725	cellular homeostasis
     31 GO:0022626	cytosolic ribosome
     31 GO:0031668	cellular response to extracellular stimulus
     31 GO:0034976	response to endoplasmic reticulum stress
     31 GO:0040011	locomotion
     31 GO:0043900	regulation of multi-organism process
     31 GO:0044454	obsolete nuclear chromosome part
     31 GO:0048037	obsolete cofactor binding
     31 GO:0048232	male gamete generation
     31 GO:1901293	nucleoside phosphate biosynthetic process
     32 GO:0000228	nuclear chromosome
     32 GO:0000375	RNA splicing, via transesterification reactions
     32 GO:0006091	generation of precursor metabolites and energy
     32 GO:0006364	rRNA processing
     32 GO:0006417	regulation of translation
     32 GO:0008380	RNA splicing
     32 GO:0019220	regulation of phosphate metabolic process
     32 GO:0043161	proteasome-mediated ubiquitin-dependent protein catabolic process
     32 GO:0048193	Golgi vesicle transport
     32 GO:0051174	regulation of phosphorus metabolic process
     32 GO:0062012	regulation of small molecule metabolic process
     32 GO:0071496	cellular response to external stimulus
     33 GO:0000139	Golgi membrane
     33 GO:0006325	chromatin organization
     33 GO:0007005	mitochondrion organization
     33 GO:0009636	response to toxic substance
     33 GO:0010498	proteasomal protein catabolic process
     33 GO:0014070	response to organic cyclic compound
     33 GO:0015318	inorganic molecular entity transmembrane transporter activity
     33 GO:0016773	phosphotransferase activity, alcohol group as acceptor
     33 GO:0022603	regulation of anatomical structure morphogenesis
     33 GO:0034248	regulation of cellular amide metabolic process
     33 GO:0042594	response to starvation
     33 GO:0044463	obsolete cell projection part
     33 GO:0045595	regulation of cell differentiation
     33 GO:0045893	positive regulation of transcription, DNA-templated
     33 GO:0048699	generation of neurons
     33 GO:0051050	positive regulation of transport
     33 GO:0051129	negative regulation of cellular component organization
     33 GO:0051188	obsolete cofactor biosynthetic process
     33 GO:0051301	cell division
     33 GO:0051656	establishment of organelle localization
     33 GO:0120038	obsolete plasma membrane bounded cell projection part
     34 GO:0006790	sulfur compound metabolic process
     34 GO:0008610	lipid biosynthetic process
     34 GO:0009506	plasmodesma
     34 GO:0009532	plastid stroma
     34 GO:0009570	chloroplast stroma
     34 GO:0016301	kinase activity
     34 GO:0048878	chemical homeostasis
     34 GO:0055044	symplast
     34 GO:0060341	regulation of cellular localization
     34 GO:0090305	nucleic acid phosphodiester bond hydrolysis
     34 GO:0098772	molecular function regulator
     35 GO:0006812	cation transport
     35 GO:0007010	cytoskeleton organization
     35 GO:0007568	aging
     35 GO:0009416	response to light stimulus
     35 GO:0016053	organic acid biosynthetic process
     35 GO:0016072	rRNA metabolic process
     35 GO:0018193	peptidyl-amino acid modification
